id_transacao,id_cliente,data_transacao,valor_transacao,categoria_transacao,metodo_pagamento
1,103,2023-01-01 00:00:00,178.06,Transporte,Transferência Bancária
2,436,2023-01-01 01:00:00,104.68,Transporte,Cartão de Débito
3,861,2023-01-01 02:00:00,424.94,Entretenimento,Dinheiro
4,271,2023-01-01 03:00:00,122.17,Saúde,Transferência Bancária
5,107,2023-01-01 04:00:00,180.19,Educação,Dinheiro
6,72,2023-01-01 05:00:00,551.85,Entretenimento,Transferência Bancária
7,701,2023-01-01 06:00:00,172.95,Alimentação,Cartão de Crédito
8,21,2023-01-01 07:00:00,73.24,Educação,Cartão de Crédito
9,615,2023-01-01 08:00:00,324.21,Entretenimento,Transferência Bancária
10,122,2023-01-01 09:00:00,228.12,Entretenimento,Dinheiro
11,467,2023-01-01 10:00:00,520.15,Saúde,Transferência Bancária
12,215,2023-01-01 11:00:00,111.34,Alimentação,Cartão de Crédito
13,331,2023-01-01 12:00:00,754.25,Alimentação,Transferência Bancária
14,459,2023-01-01 13:00:00,907.17,Entretenimento,Cartão de Crédito
15,88,2023-01-01 14:00:00,746.0,Saúde,Cartão de Crédito
16,373,2023-01-01 15:00:00,537.5,Entretenimento,Cartão de Débito
17,100,2023-01-01 16:00:00,862.06,Transporte,Dinheiro
18,872,2023-01-01 17:00:00,697.97,Transporte,Transferência Bancária
19,664,2023-01-01 18:00:00,20.45,Saúde,Dinheiro
20,131,2023-01-01 19:00:00,400.15,Entretenimento,Dinheiro
21,662,2023-01-01 20:00:00,852.44,Saúde,Cartão de Crédito
22,309,2023-01-01 21:00:00,352.4,Entretenimento,Cartão de Crédito
23,770,2023-01-01 22:00:00,44.86,Entretenimento,Transferência Bancária
24,344,2023-01-01 23:00:00,748.72,Transporte,Transferência Bancária
25,492,2023-01-02 00:00:00,804.02,Educação,Transferência Bancária
26,414,2023-01-02 01:00:00,168.99,Alimentação,Cartão de Crédito
27,806,2023-01-02 02:00:00,541.97,Alimentação,Cartão de Débito
28,386,2023-01-02 03:00:00,200.04,Saúde,Transferência Bancária
29,192,2023-01-02 04:00:00,722.04,Alimentação,Cartão de Crédito
30,956,2023-01-02 05:00:00,278.83,Transporte,Cartão de Débito
31,277,2023-01-02 06:00:00,323.05,Educação,Dinheiro
32,161,2023-01-02 07:00:00,846.52,Entretenimento,Cartão de Crédito
33,460,2023-01-02 08:00:00,481.56,Entretenimento,Transferência Bancária
34,314,2023-01-02 09:00:00,673.06,Transporte,Transferência Bancária
35,22,2023-01-02 10:00:00,408.35,Alimentação,Cartão de Débito
36,253,2023-01-02 11:00:00,305.03,Entretenimento,Cartão de Débito
37,748,2023-01-02 12:00:00,629.22,Alimentação,Cartão de Crédito
38,857,2023-01-02 13:00:00,163.31,Transporte,Cartão de Débito
39,561,2023-01-02 14:00:00,379.27,Entretenimento,Cartão de Crédito
40,475,2023-01-02 15:00:00,216.95,Saúde,Cartão de Débito
41,59,2023-01-02 16:00:00,698.84,Educação,Dinheiro
42,511,2023-01-02 17:00:00,944.77,Alimentação,Transferência Bancária
43,682,2023-01-02 18:00:00,995.56,Alimentação,Transferência Bancária
44,476,2023-01-02 19:00:00,455.77,Alimentação,Dinheiro
45,700,2023-01-02 20:00:00,260.01,Alimentação,Transferência Bancária
46,976,2023-01-02 21:00:00,448.4,Transporte,Transferência Bancária
47,783,2023-01-02 22:00:00,848.8,Transporte,Transferência Bancária
48,190,2023-01-02 23:00:00,213.95,Transporte,Transferência Bancária
49,958,2023-01-03 00:00:00,952.57,Transporte,Dinheiro
50,687,2023-01-03 01:00:00,348.45,Entretenimento,Cartão de Crédito
51,958,2023-01-03 02:00:00,985.95,Transporte,Transferência Bancária
52,563,2023-01-03 03:00:00,840.22,Entretenimento,Dinheiro
53,876,2023-01-03 04:00:00,810.48,Saúde,Transferência Bancária
54,567,2023-01-03 05:00:00,324.73,Transporte,Dinheiro
55,244,2023-01-03 06:00:00,18.69,Saúde,Dinheiro
56,832,2023-01-03 07:00:00,388.31,Transporte,Cartão de Crédito
57,505,2023-01-03 08:00:00,308.79,Saúde,Cartão de Débito
58,131,2023-01-03 09:00:00,47.02,Educação,Cartão de Crédito
59,485,2023-01-03 10:00:00,510.31,Saúde,Cartão de Crédito
60,819,2023-01-03 11:00:00,409.0,Entretenimento,Transferência Bancária
61,647,2023-01-03 12:00:00,638.21,Alimentação,Dinheiro
62,21,2023-01-03 13:00:00,624.97,Saúde,Cartão de Débito
63,841,2023-01-03 14:00:00,129.54,Alimentação,Dinheiro
64,167,2023-01-03 15:00:00,977.2,Educação,Transferência Bancária
65,274,2023-01-03 16:00:00,195.06,Educação,Dinheiro
66,388,2023-01-03 17:00:00,450.82,Entretenimento,Transferência Bancária
67,601,2023-01-03 18:00:00,493.24,Entretenimento,Cartão de Crédito
68,316,2023-01-03 19:00:00,814.93,Saúde,Cartão de Crédito
69,14,2023-01-03 20:00:00,108.24,Transporte,Transferência Bancária
70,242,2023-01-03 21:00:00,434.36,Educação,Cartão de Crédito
71,777,2023-01-03 22:00:00,632.22,Alimentação,Dinheiro
72,346,2023-01-03 23:00:00,223.0,Transporte,Cartão de Débito
